county,precinct,hd,sd,pres_harris,pres_trump,pres_dem2p,house_dem,house_rep,house_dem2p,delta,has_metric,dem_name,undervote,sen_dem,sen_rep,sen_dem2p,sen_delta,sen_dem_name,sen_undervote
Multnomah,3303,33,,5414,578,90.35,5028,576,89.72,-0.63,True,Jones-Isadore,6.5,,,,,,
Multnomah,3304,33,,6291,802,88.69,5556,1005,84.68,-4.01,True,Jones-Isadore,7.5,,,,,,
Multnomah,3305,33,,25,7,78.12,22,9,70.97,,False,Jones-Isadore,3.1,,,,,,
Multnomah,3306,33,,4704,497,90.44,4277,548,88.64,-1.8,True,Jones-Isadore,7.2,,,,,,
Multnomah,3307,33,,4217,360,92.13,3842,442,89.68,-2.45,True,Jones-Isadore,6.4,,,,,,
Multnomah,3308,33,,2638,300,89.79,2525,312,89.0,-0.79,True,Jones-Isadore,3.4,,,,,,
Multnomah,3401,34,,557,86,86.63,515,102,83.47,-3.16,True,Reynolds,4.0,,,,,,
Multnomah,3402,34,,113,21,84.33,97,36,72.93,-11.4,True,Reynolds,0.7,,,,,,
Multnomah,3801,38,,788,212,78.8,,,,,False,D. Nguyen (unopp.),,,,,,,
Multnomah,3802,38,,1397,365,79.28,,,,,False,D. Nguyen (unopp.),,,,,,,
Multnomah,3803,38,,6325,863,87.99,,,,,False,D. Nguyen (unopp.),,,,,,,
Multnomah,3804,38,,2431,456,84.21,,,,,False,D. Nguyen (unopp.),,,,,,,
Multnomah,3805,38,,5212,686,88.37,,,,,False,D. Nguyen (unopp.),,,,,,,
Multnomah,3806,38,,112,10,91.8,,,,,False,D. Nguyen (unopp.),,,,,,,
Multnomah,4101,41,,2494,225,91.72,2308,317,87.92,-3.8,True,Gamba,3.5,,,,,,
Multnomah,4102,41,,2524,249,91.02,2408,293,89.15,-1.87,True,Gamba,2.6,,,,,,
Multnomah,4103,41,,3052,303,90.97,2787,414,87.07,-3.9,True,Gamba,4.6,,,,,,
Multnomah,4104,41,,4361,471,90.25,4238,507,89.32,-0.93,True,Gamba,1.8,,,,,,
Multnomah,4105,41,,5715,450,92.7,5383,574,90.36,-2.34,True,Gamba,3.4,,,,,,
Multnomah,4201,42,,4500,254,94.66,,,,,False,Nosse (unopp.),,,,,,,
Multnomah,4202,42,,6888,318,95.59,,,,,False,Nosse (unopp.),,,,,,,
Multnomah,4203,42,,5947,431,93.24,,,,,False,Nosse (unopp.),,,,,,,
Multnomah,4204,42,,5956,332,94.72,,,,,False,Nosse (unopp.),,,,,,,
Multnomah,4205,42,,5908,303,95.12,,,,,False,Nosse (unopp.),,,,,,,
Multnomah,4206,42,,4426,298,93.69,,,,,False,Nosse (unopp.),,,,,,,
Multnomah,4207,42,,2934,190,93.92,,,,,False,Nosse (unopp.),,,,,,,
Multnomah,4208,42,,2778,198,93.35,,,,,False,Nosse (unopp.),,,,,,,
Multnomah,4301,43,22,3399,176,95.08,3296,257,92.77,-2.31,True,Sanchez,0.6,3313,243,93.17,-1.91,Frederick,0.5
Multnomah,4302,43,22,4745,240,95.19,4617,327,93.39,-1.8,True,Sanchez,0.8,4593,312,93.64,-1.55,Frederick,1.6
Multnomah,4303,43,22,6205,264,95.92,6066,387,94.0,-1.92,True,Sanchez,0.2,6085,344,94.65,-1.27,Frederick,0.6
Multnomah,4304,43,22,5807,275,95.48,5595,420,93.02,-2.46,True,Sanchez,1.1,5632,376,93.74,-1.74,Frederick,1.2
Multnomah,4305,43,22,6262,313,95.24,6005,492,92.43,-2.81,True,Sanchez,1.2,6013,450,93.04,-2.2,Frederick,1.7
Multnomah,4306,43,22,6063,342,94.66,5591,615,90.09,-4.57,True,Sanchez,3.1,5686,515,91.69,-2.97,Frederick,3.2
Multnomah,4307,43,22,6156,454,93.13,5914,580,91.07,-2.06,True,Sanchez,1.8,5960,565,91.34,-1.79,Frederick,1.3
Multnomah,4401,44,22,3581,444,88.97,,,,,False,Nelson (unopp.),,3464,541,86.49,-2.48,Frederick,0.5
Multnomah,4402,44,22,4714,637,88.1,,,,,False,Nelson (unopp.),,4567,662,87.34,-0.76,Frederick,2.3
Multnomah,4403,44,22,5747,670,89.56,,,,,False,Nelson (unopp.),,5505,756,87.93,-1.63,Frederick,2.4
